"","X","...1","price","ranks","title","no_of_copies_sold","ratings","author","cover_type","year","genre","book_id"
"387",387,386,26.43,94,"The Passage of Power: The Years of Lyndon Johnson",1511,4.8,"Robert A. Caro","Hardcover",2012,"Non Fiction",12981
"388",388,387,14.52,95,"The Pioneer Woman Cooks: Recipes from an Accidental Country Girl",5477,4.8,"Ree Drummond","Hardcover",2012,"Non Fiction",14640
"389",389,388,23.95,96,"Divine Healing Hands: Experience Divine Power to Heal You, Animals, and Nature, and to Transform All Life (Soul Power)",153,4.6,"Zhi Gang Sha Dr.","Hardcover",2012,"Non Fiction",11270
"390",390,389,24,97,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",5331,NA,"Thomas Campbell","Paperback",2012,"Non Fiction",13144
"391",391,390,NA,NA,NA,NA,NA,NA,NA,2012,"unknown",13966
"392",392,391,20.26,99,"The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God",6212,4.8,"Timothy Keller","Hardcover",2012,"Non Fiction",11565
"393",393,392,5.49,100,"Night (Night)",8573,4.7,"Elie Wiesel","Paperback",2012,"Non Fiction",12884
"394",394,393,18.29,NA,"StrengthsFinder 2.0",7082,4.1,"Gallup","Hardcover",2013,"Non Fiction",14429
"395",395,394,16.2,2,"Lean In: Women, Work, and the Will to Lead",8182,4.5,"Sheryl Sandberg","Hardcover",2013,"Non Fiction",13266
"396",396,395,13.85,3,"Diary of a Wimpy Kid: Hard Luck, Book 8",12470,4.8,"Jeff Kinney","Hardcover",2013,"Fiction",11816
"397",397,396,10.25,NA,"Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1)",9349,4.9,"Rush Limbaugh","Hardcover",2013,"Fiction",12345
"398",398,397,7.53,5,"Jesus Calling, Padded Hardcover, with Scripture references",31196,4.9,"Sarah Young","Hardcover",2013,"Non Fiction",13404
"399",399,398,13.59,6,"Inferno",35546,4.2,"Dan Brown","Hardcover",2013,"Fiction",13923
"400",400,399,12.2,7,"The House of Hades (Heroes of Olympus, Book 4)",15237,4.8,"Rick Riordan","Hardcover",2013,"Fiction",14354
"401",401,400,11.87,8,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",7789,4.7,"Charles Krauthammer","Hardcover",2013,"Non Fiction",13055
"402",402,401,6.79,9,"The Great Gatsby: The Only Authorized Edition",18656,4.5,"F. Scott Fitzgerald","Paperback",2013,"Fiction",13590
"403",403,402,18.44,10,"Killing Jesus (Bill O'Reilly's Killing Series)",13007,4.5,"Bill O'Reilly","Hardcover",2013,"Non Fiction",14366
"404",404,403,12.79,11,"Proof of Heaven: A Neurosurgeon's Journey into the Afterlife",16915,4.4,"Eben Alexander","Paperback",2013,"Non Fiction",12033
"405",405,404,144,12,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",12114,4.7,"American Psychiatric Association","Paperback",2013,"Non Fiction",12622
"406",406,405,41,13,"The Official SAT Study Guide",1526,4.4,"The College Board","Paperback",2013,"Non Fiction",14276
"407",407,406,11.06,14,"The Fault in Our Stars",62087,NA,"John Green","Hardcover",2013,"Fiction",12766
"408",408,407,6.99,NA,"The Book Thief",34536,4.7,"Markus Zusak","Paperback",2013,"Fiction",11151
"409",409,408,9.67,16,"Wonder",35698,4.8,"R. J. Palacio","Hardcover",2013,"Fiction",13029
"410",410,409,23.99,17,"The 5 Love Languages: The Secret to Love That Lasts",7012,4.7,"Gary Chapman","Paperback",2013,"Non Fiction",13640
"411",411,410,24.29,18,"Publication Manual of the American Psychological Association, 6th Edition",12674,4.5,"American Psychological Association","Paperback",2013,"Non Fiction",12367
"412",412,411,8,19,"Divergent",9701,4.7,"Veronica Roth","Paperback",2013,"Fiction",13171
"413",413,412,4.99,20,"Laugh-Out-Loud Jokes for Kids",10751,4.6,"Rob Elliott","Paperback",2013,"Non Fiction",12599
"414",414,413,8.48,21,"Oh, the Places You'll Go!Â Â ",42848,4.9,"Dr. Seuss","Hardcover",2013,"Fiction",13739
"415",415,414,16.6,22,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",7251,4.5,"Malcolm Gladwell","Hardcover",2013,"Non Fiction",11393
"416",416,415,54.98,23,"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows",6354,4.6,"George R.R. Martin","Mass Market Paperback",2013,"Fiction",12307
"417",417,416,12.04,24,"Allegiant",24591,3.9,"Veronica Roth","Hardcover",2013,"Fiction",14351
"418",418,417,12.33,25,"And the Mountains Echoed",17303,4.4,"Khaled Hosseini","Hardcover",2013,"Fiction",14946
"419",419,418,15.38,26,"Humans of New York",5377,4.8,"Brandon Stanton","Hardcover",2013,"Non Fiction",12643
"420",420,419,32,27,"The Legend of Zelda: Hyrule Historia",9588,4.9,"Patrick Thorpe","Hardcover",2013,"Fiction",14259
"421",421,420,16,28,"Doctor Sleep: A Novel",23805,4.7,"Stephen King","Hardcover",2013,"Fiction",11179
"422",422,421,4.44,29,"Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids)",5687,4.5,"Rob Elliott","Paperback",2013,"Fiction",11177
"423",423,422,22.33,30,"The Goldfinch: A Novel (Pulitzer Prize for Fiction)",42846,4,"Donna Tartt","Hardcover",2013,"Fiction",13699
"424",424,423,7.74,31,"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)",86676,4.7,"Don Miguel Ruiz","Paperback",2013,"Non Fiction",12251
"425",425,424,15.21,32,"Gone Girl",66978,4.1,"Gillian Flynn","Hardcover",2013,"Fiction",12430
"426",426,425,17.2,33,"George Washington's Secret Six: The Spy Ring That Saved the American Revolution",6506,4.7,"Brian Kilmeade","Hardcover",2013,"Non Fiction",14526
"427",427,426,13.47,34,"Quiet: The Power of Introverts in a World That Can't Stop Talking",20015,4.6,"Susan Cain","Paperback",2013,"Non Fiction",11657
"428",428,427,14.48,35,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",20089,4.9,"Sherri Duskey Rinker","Hardcover",2013,"Fiction",14162
"429",429,428,14.61,36,"Sycamore Row (Jake Brigance)",36455,4.6,"John Grisham","Hardcover",2013,"Fiction",14235
"430",430,429,13.96,37,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",8638,4.4,"William Davis","Hardcover",2013,"Non Fiction",12718
"431",431,430,14.39,38,"The Pioneer Woman Cooksâ€•A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",4883,4.8,"Ree Drummond","Hardcover",2013,"Non Fiction",14144
"432",432,431,9.19,39,"The Day the Crayons Quit",19898,4.8,"Drew Daywalt","Hardcover",2013,"Fiction",14363
"433",433,432,13.15,40,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",4798,4.8,"Phil Robertson","Hardcover",2013,"Non Fiction",11132
"434",434,433,4.93,41,"The Very Hungry Caterpillar",54008,NA,"Eric Carle","Board book",2013,"Fiction",14587
"435",435,434,12.9,42,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",2913,4.8,"Brené Brown","Hardcover",2013,"Non Fiction",11751
"436",436,435,19.99,43,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",1676,4.6,"Stephen R. Covey","Paperback",2013,"Non Fiction",14606
"437",437,436,9.66,44,"Joyland (Hard Case Crime)",10723,4.6,"Stephen King","Paperback",2013,"Fiction",14944
"438",438,437,13.99,45,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",60233,4,"E L James","Paperback",2013,"Fiction",14491
"439",439,438,15.29,NA,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",278,4.6,"Zhi Gang Sha","Hardcover",2013,"Non Fiction",11371
"440",440,439,15.95,47,"Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes",3106,4.1,"Ian K. Smith M.D.","Hardcover",2013,"Non Fiction",13808
"441",441,440,12.27,48,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",7980,4.7,"Allie Brosh","Paperback",2013,"Non Fiction",11664
"442",442,441,17.36,49,"To Kill a Mockingbird",68841,4.8,"Harper Lee","Mass Market Paperback",2013,"Fiction",11836
"443",443,442,20.72,50,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",6296,4.6,"Patrick Lencioni","Hardcover",2013,"Non Fiction",14690
"444",444,443,14.54,51,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",33629,4.8,"Laura Hillenbrand","Hardcover",2013,"Non Fiction",11435
"445",445,444,21.5,52,"Ender's Game (The Ender Quintet)",18398,4.6,"Orson Scott Card","Mass Market Paperback",2013,"Fiction",13126
"446",446,445,6.92,53,"The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are",29674,4.7,"Brené Brown","Paperback",2013,"Non Fiction",14569
"447",447,446,16.68,54,"The Cuckoo's Calling (A Cormoran Strike Novel, 1)",27919,4.2,"Robert Galbraith","Hardcover",2013,"Fiction",11912
"448",448,447,18,55,"What to Expect When You're Expecting",29389,4.8,"Heidi Murkoff","Paperback",2013,"Non Fiction",13612
"449",449,448,10.61,56,"America the Beautiful: Rediscovering What Made This Nation Great",3826,4.8,"Ben Carson  M.D.","Paperback",2013,"Non Fiction",11744
"450",450,449,17.36,57,"The Liberty Amendments: Restoring the American Republic",4052,4.8,"Mark R. Levin","Hardcover",2013,"Non Fiction",14928
"451",451,450,16.5,58,"ZEALOT: The Life and Times of Jesus of Nazareth",7011,NA,"Reza Aslan","Hardcover",2013,"Non Fiction",14736
"452",452,451,11.8,59,"The One and Only Ivan",19881,4.8,"Katherine Applegate","Hardcover",2013,"Fiction",11692
"453",453,452,16.5,60,"Good to Great: Why Some Companies Make the Leap and Others Don't",5803,4.5,"Jim Collins","Hardcover",2013,"Non Fiction",13850
"454",454,453,8.24,61,"SI-COLOGY 1: Tales and Wisdom from Duck Dynasty's Favorite Uncle",2029,4.7,"Si Robertson","Hardcover",2013,"Non Fiction",11427
"455",455,454,24.78,62,"IT'S ALL GOOD: Delicious, Easy Recipes That Will Make You Look Good and Feel Great",1418,4.4,"Gwyneth Paltrow","Hardcover",2013,"Non Fiction",14464
"456",456,455,15.71,63,"Outliers: The Story of Success",22209,4.7,"Malcolm Gladwell","Paperback",2013,"Non Fiction",11204
"457",457,456,19.39,64,"Jerusalem: A Cookbook",5149,4.8,"Yotam Ottolenghi","Hardcover",2013,"Non Fiction",11222
"458",458,457,35.47,65,"Becoming a Supple Leopard: Movement, Mobility, and Maintenance of the Human Animal",1483,4.7,"Kelly Starrett","Hardcover",2013,"Non Fiction",14186
"459",459,458,9.64,66,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",7763,4.6,"David Perlmutter MD","Hardcover",2013,"Non Fiction",11125
"460",460,459,8.99,67,"Looking for Alaska",16845,4.6,"John Green","Paperback",2013,"Fiction",14050
"461",461,460,13.71,68,"I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban",9853,4.6,"Malala Yousafzai","Hardcover",2013,"Non Fiction",13726
"462",462,461,4.98,69,"Love You Forever",53161,4.9,"Robert Munsch","Paperback",2013,"Fiction",13477
"463",463,462,12.69,70,"The Perks of Being a Wallflower",23935,4.7,"Stephen Chbosky","Paperback",2013,"Fiction",11885
"464",464,463,14.5,71,"Practical Paleo: A Customized Approach to Health and a Whole-Foods Lifestyle",4391,4.6,"Diane Sanfilippo","Paperback",2013,"Non Fiction",11855
"465",465,464,19.49,72,"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed)",38220,4.6,"E L James","Paperback",2013,"Fiction",11444
"466",466,465,13.32,73,"The FastDiet: Lose Weight, Stay Healthy, and Live Longer with the Simple Secret of Intermittent Fasting",11176,4.3,"Dr Dr Michael Mosley","Hardcover",2013,"Non Fiction",12347
"467",467,466,15.79,74,"The Jesus Storybook Bible: Every Story Whispers His Name",11859,4.9,"Sally Lloyd-Jones","Hardcover",2013,"Non Fiction",12502
"468",468,467,15.99,75,"Divergent / Insurgent",19457,4.6,"Veronica Roth","Hardcover",2013,"Fiction",12756
"469",469,468,10.5,76,"How to Win Friends & Influence People",79094,4.7,"Dale Carnegie","Paperback",2013,"Non Fiction",11273
"470",470,469,22.07,77,"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",2638,4.6,"Doris Kearns Goodwin","Hardcover",2013,"Non Fiction",13426
"471",471,470,11.69,78,"The Hunger Games (Book 1)",42770,4.7,"Suzanne Collins","Paperback",2013,"Fiction",11691
"472",472,471,9.2,79,"ObamaCare Survival Guide: The Affordable Care Act and What It Means for You and Your Healthcare",1003,3.8,"Nick J. Tate","Paperback",2013,"Non Fiction",11795
"473",473,472,9.49,80,"The Harbinger: The Ancient Mystery that Holds the Secret of America's Future",19005,4.7,"Jonathan Cahn","Paperback",2013,"Fiction",11191
"474",474,473,12.1,81,"The Immortal Life of Henrietta Lacks",16936,4.7,"Rebecca Skloot","Paperback",2013,"Non Fiction",11787
"475",475,474,5.49,82,"Night (Night)",8573,4.7,"Elie Wiesel","Paperback",2013,"Non Fiction",13086
"476",476,475,13.99,83,"Fifty Shades Darker",32887,4.5,"E L James","Paperback",2013,"Fiction",12901
"477",477,476,12.99,84,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",9950,4.5,"Joel Fuhrman MD","Paperback",2013,"Non Fiction",13186
"478",478,477,9.79,85,"Forks Over Knives: The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",13075,4.5,"Del Sroufe","Paperback",2013,"Non Fiction",13183
"479",479,478,13.88,86,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",32375,4.5,"E L James","Paperback",2013,"Fiction",13645
"480",480,479,25,87,"The Alchemist",3816,4.7,"Paulo Coelho","Paperback",2013,"Fiction",11613
"481",481,480,8.99,88,"The Catcher in the Rye",30925,4.5,"J.D. Salinger","Mass Market Paperback",2013,"Fiction",13248
"482",482,481,8.55,89,"Mindset: The New Psychology of Success",13911,4.6,"Carol S. Dweck","Paperback",2013,"Non Fiction",13799
"483",483,482,19.59,90,"Wheat Belly Cookbook: 150 Recipes to Help You Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",2277,4.4,"William Davis","Hardcover",2013,"Non Fiction",14754
"484",484,483,75.49,NA,"MyMathLab: Student Access Kit",4558,4.2,"Hall H Pearson Education","Printed Access Code",2013,"Non Fiction",12533
"485",485,484,9.48,92,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",24552,4.8,"Valorie Schaefer","Paperback",2013,"Non Fiction",12698
"486",486,485,19.19,NA,"The Power of Habit: Why We Do What We Do in Life and Business",22727,4.7,"Charles Duhigg","Hardcover",2013,"Non Fiction",11149
"487",487,486,16.39,94,"The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism",7514,NA,"Naoki Higashida","Hardcover",2013,"Non Fiction",12001
"488",488,487,15.64,95,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",2349,4.5,"Tom Rath","Hardcover",2013,"Non Fiction",13056
"489",489,488,9.87,96,"Kaplan GRE Premier 2014 with 6 Practice Tests: book + online + DVD + mobile",463,4.3,"Kaplan","Paperback",2013,"Non Fiction",11906
"490",490,489,16.25,NA,"The Longest Ride",13380,4.7,"Nicholas Sparks","Hardcover",2013,"Fiction",12064
"491",491,490,15.59,98,"Life Code: The New Rules for Winning in the Real World",3901,4.4,"Phil McGraw","Hardcover",2013,"Non Fiction",14339
"492",492,491,12.8,99,"The Lego Ideas Book: Unlock Your Imagination",9887,4.5,"Daniel Lipkowitz","Hardcover",2013,"Non Fiction",13565
"493",493,492,19.81,100,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)",13061,4.8,"Robert Jordan","Hardcover",2013,"Fiction",12361
"494",494,493,18.29,1,"StrengthsFinder 2.0",7082,4.1,"Gallup","Hardcover",2014,"Non Fiction",14846
"495",495,494,5.91,2,"Frozen (Little Golden Book)",7183,NA,"RH Disney","Hardcover",2014,"Fiction",13738
"496",496,495,4.99,3,"Laugh-Out-Loud Jokes for Kids",10751,4.6,"Rob Elliott","Paperback",2014,"Non Fiction",12021
"497",497,496,6.1,4,"The Fault in Our Stars",62089,4.7,"John Green","Paperback",2014,"Fiction",12631
"498",498,497,11.99,5,"Diary of a Wimpy Kid: The Long Haul",13520,4.8,"Jeff Kinney","Hardcover",2014,"Fiction",11134
"499",499,498,13.3,6,"What If?: Serious Scientific Answers to Absurd Hypothetical Questions",18840,4.7,"Randall Munroe","Hardcover",2014,"Non Fiction",14871
"500",500,499,11.49,7,"The Blood of Olympus (The Heroes of Olympus, 5)",15170,4.8,"Rick Riordan","Hardcover",2014,"Fiction",14915
"501",501,500,7.53,NA,"Jesus Calling, Padded Hardcover, with Scripture references",31196,4.9,"Sarah Young","Hardcover",2014,"Non Fiction",12827
"502",502,501,12.79,NA,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",33629,4.8,"Laura Hillenbrand","Paperback",2014,"Non Fiction",12477
"503",503,502,6.99,10,"Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers",4838,NA,"DK","Paperback",2014,"Fiction",13258
"504",504,503,9.19,11,"The Day the Crayons Quit",19898,4.8,"Drew Daywalt","Hardcover",2014,"Fiction",14977
"505",505,504,8,12,"Divergent",9701,4.7,"Veronica Roth","Paperback",2014,"Fiction",14373
"506",506,505,11.06,13,"The Fault in Our Stars",62089,4.7,"John Green","Hardcover",2014,"Fiction",13745
"507",507,506,8.48,14,"Oh, the Places You'll Go!",42848,4.9,"Dr. Seuss","Hardcover",2014,"Fiction",13955
"508",508,507,17.36,15,"To Kill a Mockingbird",68841,4.8,"Harper Lee","Mass Market Paperback",2014,"Fiction",14639
"509",509,508,15.99,16,"Gone Girl",66978,4.1,"Gillian Flynn","Paperback",2014,"Fiction",11053
"510",510,509,6.99,17,"The Book Thief",34536,4.7,"Markus Zusak","Paperback",2014,"Fiction",12436
"511",511,510,41,18,"The Official SAT Study Guide",1526,4.4,"The College Board","Paperback",2014,"Non Fiction",12545
"512",512,511,15.38,19,"Humans of New York",5377,4.8,"Brandon Stanton","Hardcover",2014,"Non Fiction",13832
"513",513,512,22.33,20,"The Goldfinch: A Novel (Pulitzer Prize for Fiction)",42846,4,"Donna Tartt","Hardcover",2014,"Fiction",12640
"514",514,513,144,21,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",12114,4.7,"American Psychiatric Association","Paperback",2014,"Non Fiction",14861
"515",515,514,9.67,22,"Wonder",35698,4.8,"R. J. Palacio","Hardcover",2014,"Fiction",12629
"516",516,515,9.9,23,"The Book with No Pictures",16882,NA,"B. J. Novak","Hardcover",2014,"Fiction",13435
"517",517,516,9.99,24,"Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2)",5033,4.9,"Rush Limbaugh","Hardcover",2014,"Fiction",14829
"518",518,517,23.99,25,"The 5 Love Languages: The Secret to Love That Lasts",7012,4.7,"Gary Chapman","Paperback",2014,"Non Fiction",14157
"519",519,518,4.44,26,"Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids)",5687,4.5,"Rob Elliott","Paperback",2014,"Fiction",12953
"520",520,519,8.15,27,"JOURNEY TO THE ICE P",1094,4.6,"RH Disney","Paperback",2014,"Fiction",13982
"521",521,520,24.29,28,"Publication Manual of the American Psychological Association, 6th Edition",12674,4.5,"American Psychological Association","Paperback",2014,"Non Fiction",13363
"522",522,521,9.99,29,"Little Blue Truck",1958,4.9,"Alice Schertle","Board book",2014,"Fiction",13163
"523",523,522,17.4,30,"Make It Ahead: A Barefoot Contessa Cookbook",2226,4.6,"Ina Garten","Hardcover",2014,"Non Fiction",12321
"524",524,523,4.78,31,"First 100 Words: A Padded Board Book",35236,4.7,"Roger Priddy","Board book",2014,"Non Fiction",12060
"525",525,524,9.99,32,"If I Stay",9994,NA,"Gayle Forman","Paperback",2014,"Fiction",11107
"526",526,525,25.64,33,"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons",33321,4.7,"George R. R. Martin","Mass Market Paperback",2014,"Fiction",13544
"527",527,526,15.99,34,"Divergent / Insurgent",19457,4.6,"Veronica Roth","Hardcover",2014,"Fiction",13573
"528",528,527,19.38,35,"Capital in the Twenty First Century",4573,4.5,"Thomas Piketty","Hardcover",2014,"Non Fiction",14091
"529",529,528,11.78,36,"Orphan Train",25199,NA,"Christina Baker Kline","Paperback",2014,"Fiction",14886
"530",530,529,8.55,37,"Mindset: The New Psychology of Success",13911,4.6,"Carol S. Dweck","Paperback",2014,"Non Fiction",12925
"531",531,530,10.5,38,"How to Win Friends & Influence People",79094,4.7,"Dale Carnegie","Paperback",2014,"Non Fiction",13057
"532",532,531,4.93,39,"The Very Hungry Caterpillar",54008,NA,"Eric Carle","Board book",2014,"Fiction",14561
"533",533,532,18.98,40,"All the Light We Cannot See",67291,4.6,"Anthony Doerr","Hardcover",2014,"Fiction",13733
"534",534,533,9.64,41,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",7763,NA,"David Perlmutter MD","Hardcover",2014,"Non Fiction",13589
"535",535,534,14.54,42,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",33629,4.8,"Laura Hillenbrand","Hardcover",2014,"Non Fiction",11283
"536",536,535,25.99,43,"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)",14418,4.6,"Thug Kitchen","Hardcover",2014,"Non Fiction",13848
"537",537,536,25,44,"The Alchemist",3816,NA,"Paulo Coelho","Paperback",2014,"Fiction",14706
"538",538,537,8.99,45,"Looking for Alaska",16845,4.6,"John Green","Paperback",2014,"Fiction",14069
"539",539,538,6.79,46,"The Great Gatsby: The Only Authorized Edition",18656,4.5,"F. Scott Fitzgerald","Paperback",2014,"Fiction",14924
"540",540,539,14.03,47,"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics",31128,4.8,"Daniel James Brown","Paperback",2014,"Non Fiction",12916
"541",541,540,4.98,48,"Love You Forever",53161,4.9,"Robert Munsch","Paperback",2014,"Fiction",14529
"542",542,541,9.57,49,"The Maze Runner (Book 1)",15611,4.6,"James Dashner","Paperback",2014,"Fiction",14382
"543",543,542,12.04,51,"Allegiant",24591,3.9,"Veronica Roth","Hardcover",2014,"Fiction",13324
"544",544,543,15.99,52,"Yes Please",5531,4.3,"Amy Poehler","Hardcover",2014,"Non Fiction",11463
"545",545,544,20.72,53,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",6269,4.6,"Patrick Lencioni","Hardcover",2014,"Non Fiction",13428
"546",546,545,7.74,54,"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)",86676,4.7,"Don Miguel Ruiz","Paperback",2014,"Non Fiction",11914
"547",547,546,17.99,55,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",9187,4.7,"Stephen R. Covey","Paperback",2014,"Non Fiction",12997
"548",548,547,9.98,56,"41: A Portrait of My Father",2722,4.7,"George W. Bush","Hardcover",2014,"Non Fiction",11645
"549",549,548,65,57,"Minecraft: The Complete Handbook Collection",1410,4.8,"Stephanie Milton","Hardcover",2014,"Fiction",12591
"550",550,549,4.99,58,"Frozen: A Tale of Two Sisters",1123,4.6,"Melissa Lagonegro","Paperback",2014,"Fiction",13655
"551",551,550,10.25,59,"Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1)",9349,4.9,"Rush Limbaugh","Hardcover",2014,"Fiction",14957
"552",552,551,6.92,NA,"The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are",29674,4.7,"Brené Brown","Paperback",2014,"Non Fiction",13497
"553",553,552,62.5,61,"Divergent / Insurgent / Allegiant",3064,NA,"Veronica Roth","Hardcover",2014,"Fiction",14462
"554",554,553,10.24,62,"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back",17368,4.7,"Todd Burpo","Paperback",2014,"Non Fiction",14082
"555",555,554,16.73,63,"Flash Boys",6241,4.6,"Michael Lewis","Hardcover",2014,"Non Fiction",12453
"556",556,555,9.99,64,"Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans",4504,4.9,"Rush Limbaugh","Hardcover",2014,"Fiction",11628
"557",557,556,5,NA,"Dear Zoo: A Lift-the-Flap Book",26368,4.8,"Rod Campbell","Board book",2014,"Fiction",14094
"558",558,557,3.97,66,"The Going-To-Bed Book",15393,4.8,"Sandra Boynton","Board book",2014,"Fiction",14722
"559",559,558,53.99,67,"The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones",7640,4.8,"George R. R. Martin","Hardcover",2014,"Fiction",12989
"560",560,559,10.71,68,"The Real ACT Prep Guide",804,4.4,"ACT","Paperback",2014,"Non Fiction",11932
"561",561,560,16.21,69,"Gray Mountain: A Novel",28293,4.1,"John Grisham","Hardcover",2014,"Fiction",13485
"562",562,561,18,70,"What to Expect When You're Expecting",29389,4.8,"Heidi Murkoff","Paperback",2014,"Non Fiction",13125
"563",563,562,15.79,NA,"The Jesus Storybook Bible: Every Story Whispers His Name",11859,4.9,"Sally Lloyd-Jones","Hardcover",2014,"Non Fiction",13972
"564",564,563,16.2,72,"Lean In: Women, Work, and the Will to Lead",8182,4.5,"Sheryl Sandberg","Hardcover",2014,"Non Fiction",13620
"565",565,564,19.3,NA,"The Invention of Wings",19656,4.7,"Sue Monk Kidd","Hardcover",2014,"Fiction",12789
"566",566,565,5.99,74,"Lord of the Flies",31815,4.6,"William Golding","Mass Market Paperback",2014,"Fiction",14045
"567",567,566,5.49,75,"Night (Night)",8573,4.7,"Elie Wiesel","Paperback",2014,"Non Fiction",14103
"568",568,567,8.99,76,"The Catcher in the Rye",30926,4.5,"J.D. Salinger","Mass Market Paperback",2014,"Fiction",11701
"569",569,568,15.29,77,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",278,NA,"Zhi Gang Sha","Hardcover",2014,"Non Fiction",12389
"570",570,569,9.48,78,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",24552,4.8,"Valorie Schaefer","Paperback",2014,"Non Fiction",11851
"571",571,570,17.69,79,"The Skinnytaste Cookbook: Light on Calories, Big on Flavor",8256,4.7,"Gina Homolka","Hardcover",2014,"Non Fiction",12973
"572",572,571,8.29,80,"Fahrenheit 451",34955,NA,"Ray Bradbury","Paperback",2014,"Fiction",12040
"573",573,572,14.48,81,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",20089,4.9,"Sherri Duskey Rinker","Hardcover",2014,"Fiction",14785
"574",574,573,7.68,82,"Paper Towns",10316,4.4,"John Green","Paperback",2014,"Fiction",11225
"575",575,574,7.5,83,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!",6281,4.6,"Tom Robinson","Paperback",2014,"Non Fiction",13123
"576",576,575,7.48,84,"1984",72441,4.7,"George Orwell","Mass Market Paperback",2014,"Fiction",14707
"577",577,576,9.49,85,"The Outsiders",30584,NA,"S. E. Hinton","Paperback",2014,"Fiction",12680
